fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,alcohol,quality
6.52,0.327,0.09,1.4,0.036,9.2,7
8.3,0.601,0.46,2.0,0.154,9.9,6
10.39,0.215,0.47,0.9,0.014,8.4,7
8.43,0.462,0.37,1.7,0.012,11.0,6
7.75,0.566,0.83,1.6,0.012,11.9,8
9.11,0.967,0.34,6.5,0.071,10.4,5
9.39,0.716,0.0,0.9,0.097,10.1,3
10.12,0.483,0.34,3.1,0.065,9.3,4
8.37,0.229,0.39,0.9,0.012,11.0,7
6.24,0.682,0.38,0.9,0.04,11.4,6
9.45,0.267,0.0,7.0,0.121,9.7,4
7.81,0.397,0.22,1.2,0.102,9.9,5
10.17,0.688,0.36,7.1,0.068,9.4,5
10.85,0.351,0.63,2.9,0.113,11.6,5
8.97,0.401,0.26,8.8,0.083,11.0,7
7.28,0.793,0.59,3.1,0.118,11.1,6
8.18,0.828,0.36,2.9,0.012,9.0,5
9.37,0.24,0.17,2.5,0.024,10.6,7
9.65,0.134,0.16,4.6,0.101,10.5,7
5.82,0.847,0.46,0.9,0.122,11.5,5
10.85,0.159,0.48,0.9,0.112,10.2,5
10.38,0.429,0.35,2.3,0.081,9.0,6
7.51,0.796,0.22,2.9,0.037,9.0,4
8.53,0.378,0.16,0.9,0.084,12.1,6
8.25,0.478,0.26,2.2,0.053,11.0,6
6.38,0.506,0.3,2.0,0.062,11.1,6
4.6,0.632,0.11,0.9,0.124,10.2,5
7.57,0.663,0.45,2.2,0.078,11.8,5
7.64,0.694,0.35,1.8,0.071,9.8,6
8.76,0.346,0.0,3.6,0.114,8.4,4
5.48,0.3,0.6,2.3,0.028,10.3,6
8.37,0.366,0.12,0.9,0.027,9.8,8
11.69,0.236,0.0,2.3,0.165,11.8,5
12.03,0.471,0.0,2.3,0.062,11.0,7
8.3,0.394,0.21,3.2,0.061,11.2,7
7.96,0.356,0.3,2.5,0.12,9.4,5
9.62,0.853,0.5,0.9,0.074,10.0,6
5.59,0.699,0.26,1.3,0.076,10.2,4
9.38,0.406,0.27,1.5,0.064,10.0,5
9.54,0.621,0.19,15.5,0.117,10.1,6
5.16,0.512,0.21,2.2,0.016,10.4,4
9.72,0.527,0.1,1.7,0.046,12.9,7
9.36,0.494,0.15,1.3,0.098,9.7,6
8.69,0.467,0.34,4.9,0.012,9.7,7
8.45,0.171,0.18,0.9,0.174,11.2,6
9.65,0.328,0.36,2.1,0.081,9.1,7
8.71,0.325,0.31,15.5,0.122,10.3,6
9.37,0.622,0.06,2.4,0.206,10.7,3
9.11,0.442,0.2,1.6,0.115,9.5,4
8.27,0.276,0.33,1.5,0.117,8.5,5
9.49,0.619,0.2,10.4,0.08,11.5,6
8.18,0.559,0.19,0.9,0.202,10.1,4
7.23,0.444,0.87,1.6,0.015,12.4,8
6.2,0.691,0.41,0.9,0.09,9.8,5
7.05,0.683,0.28,0.9,0.109,10.1,5
10.9,0.343,0.58,4.8,0.027,10.2,9
6.57,0.476,0.13,4.2,0.101,9.4,4
6.51,0.833,0.18,1.9,0.063,10.2,5
8.7,0.874,0.18,2.1,0.094,10.7,5
9.72,0.61,0.0,8.2,0.038,12.1,8
11.56,0.543,0.49,0.9,0.044,8.4,6
8.32,0.567,0.0,6.9,0.1,11.5,6
7.76,0.669,0.39,15.2,0.065,8.8,6
9.54,0.359,0.37,6.4,0.061,10.5,8
7.24,0.48,0.08,1.6,0.043,12.3,5
8.3,0.492,0.53,0.9,0.086,10.9,6
11.1,0.792,0.26,0.9,0.118,10.4,5
7.28,0.647,0.4,1.2,0.048,9.0,5
6.15,0.451,0.1,1.6,0.145,10.2,4
4.6,0.634,0.28,1.5,0.146,9.3,4
7.79,0.701,0.37,1.4,0.158,11.5,6
9.96,0.417,0.21,5.8,0.094,9.8,5
7.35,0.784,0.34,2.2,0.101,10.2,4
9.09,0.641,0.23,7.9,0.138,10.3,6
6.13,0.771,0.14,6.5,0.146,12.6,4
9.37,0.621,0.0,6.2,0.019,9.3,7
9.46,0.382,0.14,1.3,0.14,9.4,4
6.42,0.434,0.6,2.6,0.099,10.5,6
8.1,0.539,0.2,10.0,0.081,10.8,7
7.91,0.312,0.34,2.2,0.052,9.7,7
9.28,0.319,0.18,10.7,0.097,9.7,5
9.74,0.899,0.11,15.5,0.034,10.2,6
8.85,0.546,0.07,4.2,0.025,10.2,6
9.82,0.754,0.28,1.0,0.073,11.4,5
9.25,0.854,0.45,1.7,0.156,12.9,4
12.08,0.328,0.36,1.6,0.116,9.7,5
4.6,0.627,0.29,2.9,0.096,10.9,7
6.71,0.626,0.63,0.9,0.074,8.4,6
6.49,0.31,0.21,0.9,0.23,10.0,4
10.07,0.788,0.47,3.8,0.031,10.5,7
7.68,0.492,0.54,1.4,0.096,13.2,8
4.6,0.859,0.12,1.7,0.074,10.2,5
9.12,0.328,0.34,0.9,0.141,10.0,4
6.02,0.667,0.21,0.9,0.133,9.9,4
7.79,0.12,0.25,8.1,0.094,9.5,6
6.08,0.41,0.28,2.8,0.161,10.0,5
10.5,0.574,0.48,1.1,0.109,10.1,6
11.08,0.45,0.23,1.2,0.063,10.5,6
9.9,0.859,0.25,3.6,0.051,9.6,5
7.94,0.709,0.42,10.9,0.047,11.2,7
7.71,0.477,0.0,1.3,0.067,8.6,5
10.67,0.766,0.31,1.4,0.135,8.8,4
8.58,0.12,0.13,0.9,0.041,11.2,6
8.73,0.562,0.25,6.0,0.093,10.5,5
6.71,0.402,0.02,1.0,0.047,9.9,6
8.52,0.722,0.08,6.5,0.123,10.5,4
10.87,0.419,0.15,3.8,0.114,9.1,6
7.88,0.337,0.52,11.6,0.12,10.2,6
7.6,0.492,0.25,0.9,0.08,10.6,6
9.68,0.894,0.33,1.8,0.012,10.2,6
7.14,0.656,0.21,1.1,0.099,10.9,5
9.49,0.744,0.05,1.3,0.113,10.8,5
10.6,0.378,0.09,1.6,0.054,9.3,7
8.79,0.287,0.12,6.1,0.088,9.5,7
8.53,0.146,0.48,6.1,0.073,10.3,7
6.8,0.419,0.35,1.8,0.06,9.7,6
4.6,0.728,0.12,0.9,0.067,12.9,7
5.66,0.545,0.43,8.2,0.16,10.4,4
10.95,0.594,0.08,4.4,0.057,9.8,5
5.9,0.543,0.07,3.1,0.071,9.9,6
10.35,0.535,0.0,1.5,0.066,11.6,6
10.55,0.554,0.09,1.7,0.127,9.2,3
7.71,0.569,0.21,4.2,0.095,10.7,5
6.96,0.694,0.25,15.5,0.126,11.7,6
9.26,0.588,0.47,0.9,0.089,8.6,4
8.23,0.802,0.36,2.7,0.15,10.3,5
7.96,0.702,0.29,1.7,0.071,11.8,6
11.72,0.687,0.35,2.2,0.012,9.2,7
10.51,0.397,0.0,0.9,0.117,11.4,5
9.55,0.358,0.2,0.9,0.134,11.2,5
9.88,0.194,0.03,2.7,0.155,9.7,6
8.54,0.671,0.36,0.9,0.098,9.8,5
10.66,0.573,0.18,2.6,0.042,11.4,6
7.27,0.584,0.22,3.5,0.171,9.3,4
9.09,0.188,0.32,2.0,0.096,9.7,7
8.29,0.442,0.73,8.1,0.087,11.2,5
6.93,0.628,0.14,4.7,0.142,10.0,6
9.38,0.646,0.18,2.1,0.164,9.9,3
8.96,0.365,0.07,3.7,0.081,10.7,7
8.78,0.792,0.08,0.9,0.045,9.9,5
7.26,0.456,0.2,1.7,0.118,8.4,3
9.42,0.376,0.43,2.1,0.168,8.4,5
4.78,0.325,0.16,0.9,0.076,10.4,5
9.22,0.616,0.07,10.5,0.012,11.3,7
6.87,0.374,0.2,1.8,0.122,8.8,6
8.04,0.628,0.36,8.4,0.106,9.9,4
6.42,0.689,0.24,5.1,0.043,9.7,5
9.53,0.733,0.38,12.5,0.012,9.9,6
10.72,0.617,0.17,0.9,0.088,12.1,7
6.24,0.36,0.47,4.4,0.122,9.3,6
7.4,0.448,0.4,3.7,0.012,11.4,6
9.41,0.49,0.3,1.8,0.187,11.8,6
8.17,0.445,0.11,1.6,0.191,11.7,4
8.21,0.487,0.13,4.2,0.03,12.2,7
9.37,0.798,0.0,2.2,0.135,9.3,3
7.73,0.68,0.46,0.9,0.06,11.8,5
7.77,0.599,0.42,11.4,0.121,9.1,7
7.32,0.587,0.0,1.6,0.16,12.3,4
8.7,0.525,0.17,0.9,0.172,12.8,5
8.73,0.642,0.17,2.7,0.119,9.5,5
8.85,0.699,0.34,2.8,0.113,10.2,6
7.34,0.35,0.39,1.0,0.054,11.2,6
7.53,0.54,0.26,0.9,0.1,9.9,4
8.08,0.235,0.37,15.0,0.128,10.9,6
8.07,0.828,0.31,0.9,0.097,9.6,5
7.69,0.646,0.03,0.9,0.046,12.6,7
8.78,0.491,0.43,0.9,0.053,8.9,5
8.73,0.601,0.34,1.1,0.114,9.4,5
7.94,0.549,0.11,15.5,0.097,10.2,7
8.72,0.572,0.19,0.9,0.015,11.8,6
6.94,0.224,0.05,7.2,0.093,11.3,6
8.56,0.771,0.52,2.7,0.079,9.7,4
7.54,0.809,0.3,0.9,0.131,10.0,3
8.74,0.27,0.36,1.5,0.107,10.2,5
9.82,0.41,0.0,1.4,0.11,11.5,5
7.13,0.7,0.45,4.6,0.111,10.2,6
6.39,0.307,0.18,15.5,0.105,13.0,7
8.57,0.962,0.07,4.3,0.017,10.5,5
8.33,0.872,0.43,7.8,0.144,11.0,5
8.51,0.827,0.28,0.9,0.012,9.2,5
7.73,0.755,0.0,1.1,0.067,9.9,6
7.14,0.587,0.0,2.8,0.133,11.0,5
8.04,0.242,0.0,0.9,0.179,11.9,3
9.41,0.854,0.33,0.9,0.099,11.0,4
11.09,0.454,0.0,0.9,0.111,13.6,7
7.12,0.377,0.27,1.6,0.087,10.6,6
5.38,0.408,0.35,1.0,0.194,9.5,5
9.0,0.12,0.35,1.2,0.014,11.1,8
6.94,0.787,0.52,0.9,0.053,8.4,4
8.58,0.567,0.67,1.8,0.076,10.3,8
9.09,0.456,0.45,0.9,0.121,11.0,6
6.88,0.584,0.67,0.9,0.12,10.3,5
10.53,0.668,0.34,3.8,0.064,9.2,5
6.54,0.588,0.18,1.1,0.087,10.8,5
7.97,0.546,0.55,1.2,0.103,9.9,6
8.27,0.491,0.28,6.1,0.049,9.8,7
10.32,0.283,0.0,4.1,0.056,10.7,7
6.44,0.12,0.62,2.9,0.049,10.5,7
9.13,0.182,0.44,2.7,0.147,8.4,6
6.76,0.485,0.7,10.4,0.089,9.2,5
8.32,0.215,0.58,2.3,0.14,10.2,6
5.6,0.757,0.23,1.5,0.138,11.8,4
8.37,1.07,0.23,1.6,0.157,11.3,5
8.82,0.481,0.5,15.5,0.046,10.9,8
6.54,0.356,0.24,2.5,0.119,9.1,6
6.32,0.64,0.39,5.6,0.042,8.5,6
10.13,0.612,0.07,15.5,0.128,10.7,6
7.89,0.6,0.23,0.9,0.1,9.4,4
7.93,0.524,0.01,15.5,0.127,9.6,6
9.24,0.297,0.29,15.5,0.079,10.5,7
6.75,0.33,0.34,5.3,0.121,11.6,7
9.44,0.404,0.41,3.7,0.091,11.6,6
9.41,0.742,0.27,1.2,0.115,10.3,6
11.52,0.349,0.39,1.6,0.115,8.4,7
7.37,0.667,0.44,2.3,0.044,8.7,4
7.89,0.501,0.0,5.0,0.155,10.9,5
6.27,0.521,0.0,4.1,0.033,9.8,6
5.47,0.441,0.42,2.5,0.095,11.3,6
8.88,0.443,0.18,15.5,0.034,9.3,7
9.04,0.327,0.22,3.1,0.112,12.3,6
8.57,0.391,0.29,1.4,0.156,10.2,6
9.48,0.814,0.43,0.9,0.124,10.4,7
8.52,0.39,0.29,15.5,0.012,10.4,7
7.53,0.896,0.01,1.9,0.05,10.2,5
8.79,0.431,0.11,6.6,0.071,8.9,5
11.73,0.483,0.51,8.6,0.118,10.4,6
5.29,0.454,0.56,2.8,0.08,10.1,6
7.16,0.548,0.0,4.9,0.11,11.4,6
6.94,0.752,0.01,1.0,0.094,9.6,5
10.2,0.279,0.29,2.9,0.012,9.3,7
8.9,0.218,0.22,3.6,0.012,8.4,7
8.1,0.384,0.57,2.3,0.101,9.4,8
9.45,0.159,0.39,2.7,0.033,8.4,7
6.99,0.445,0.19,13.1,0.137,10.1,5
7.73,0.12,0.37,12.3,0.032,8.9,7
6.15,0.391,0.45,0.9,0.147,10.6,3
10.2,0.668,0.45,4.0,0.065,10.8,8
9.95,0.223,0.05,14.9,0.125,10.9,7
7.78,0.455,0.48,2.3,0.14,12.2,5
8.69,0.338,0.46,4.8,0.106,10.7,6
7.89,0.417,0.0,2.3,0.067,11.4,6
4.9,0.338,0.6,0.9,0.061,12.1,6
9.45,0.621,0.43,1.1,0.139,9.4,4
6.84,0.955,0.05,4.5,0.199,10.2,3
8.67,0.167,0.05,1.5,0.083,10.4,6
9.0,0.497,0.63,1.6,0.071,9.1,6
6.19,0.876,0.16,6.5,0.088,11.1,5
4.6,0.644,0.33,6.8,0.034,13.8,6
7.81,0.454,0.0,3.3,0.094,9.0,6
10.22,0.131,0.26,4.0,0.062,11.2,7
5.62,0.882,0.43,0.9,0.012,9.7,7
10.99,0.672,0.28,0.9,0.072,10.9,6
10.39,0.566,0.11,2.9,0.027,11.2,6
9.0,0.428,0.34,15.5,0.079,8.4,6
8.11,0.289,0.14,2.8,0.132,8.9,5
7.04,0.799,0.06,0.9,0.103,10.7,5
9.45,0.331,0.16,2.5,0.038,10.7,6
8.04,0.732,0.51,7.6,0.083,9.3,6
8.1,0.38,0.14,4.5,0.109,9.9,5
7.56,0.63,0.24,0.9,0.148,10.3,5
7.94,0.713,0.46,1.8,0.174,9.4,4
9.04,0.82,0.0,2.4,0.138,10.7,3
9.02,0.513,0.25,2.3,0.099,10.3,7
6.28,0.49,0.25,1.7,0.095,11.0,5
11.72,0.357,0.12,1.5,0.02,10.3,5
8.84,0.874,0.02,1.8,0.077,12.0,5
7.69,0.635,0.08,5.2,0.128,10.4,6
5.64,0.468,0.33,0.9,0.123,9.0,3
5.95,0.576,0.27,2.3,0.064,10.6,6
8.4,0.438,0.25,4.3,0.144,11.5,4
6.73,0.41,0.17,1.7,0.135,10.9,6
8.81,0.498,0.43,2.5,0.012,10.8,7
6.24,0.613,0.15,12.0,0.012,10.9,7
7.98,0.536,0.31,0.9,0.077,9.6,7
9.11,0.566,0.1,3.4,0.04,10.4,7
7.75,0.814,0.46,15.5,0.184,9.1,5
10.36,0.757,0.13,4.2,0.064,9.3,5
9.83,0.534,0.16,2.1,0.065,13.8,7
7.86,0.346,0.2,0.9,0.081,10.9,6
4.6,0.667,0.44,2.0,0.061,10.2,5
9.26,0.57,0.22,15.5,0.1,12.2,7
10.29,0.994,0.53,1.2,0.134,9.8,5
10.68,0.712,0.33,5.4,0.068,9.3,6
5.66,0.368,0.49,0.9,0.115,8.4,4
9.41,0.805,0.45,1.5,0.038,9.2,5
8.56,0.615,0.25,2.0,0.025,9.4,5
8.46,0.706,0.2,1.6,0.083,9.4,4
7.82,0.946,0.38,2.0,0.102,11.4,5
9.12,0.548,0.78,6.5,0.076,11.4,8
10.85,0.388,0.35,3.3,0.115,11.1,6
9.23,0.61,0.3,1.2,0.012,10.1,7
7.66,0.834,0.36,0.9,0.079,11.7,4
11.56,0.362,0.01,2.1,0.063,9.2,6
8.52,0.579,0.32,6.9,0.104,10.4,6
9.53,0.515,0.14,0.9,0.081,9.6,4
7.38,0.36,0.09,3.2,0.072,9.2,5
11.47,0.381,0.27,3.0,0.118,10.6,6
7.86,0.731,0.26,13.1,0.085,9.9,4
8.86,0.455,0.37,2.2,0.031,9.5,5
9.9,0.54,0.39,0.9,0.1,10.8,6
7.18,0.599,0.22,1.2,0.119,10.4,4
8.56,0.203,0.14,2.8,0.172,11.7,7
6.49,0.64,0.69,0.9,0.049,10.3,7
10.65,0.318,0.29,3.7,0.124,10.9,6
8.02,0.398,0.17,9.1,0.062,10.3,6
10.22,0.752,0.07,11.7,0.113,9.6,4
7.42,0.706,0.31,2.6,0.093,11.2,6
8.69,0.309,0.41,0.9,0.014,11.0,7
6.86,0.334,0.25,10.4,0.068,10.4,7
6.77,0.649,0.36,7.0,0.08,11.2,6
8.99,0.357,0.21,2.7,0.119,9.9,5
8.74,0.678,0.2,3.0,0.137,10.8,4
6.01,0.322,0.46,15.5,0.07,11.7,6
9.38,0.65,0.3,10.5,0.174,8.5,3
8.88,0.605,0.38,0.9,0.061,10.5,6
4.77,0.738,0.04,1.1,0.094,10.9,4
6.11,0.381,0.11,0.9,0.09,10.2,5
9.3,0.219,0.05,0.9,0.076,10.7,6
8.4,0.55,0.43,0.9,0.043,10.6,7
9.78,0.644,0.44,2.4,0.05,11.0,7
8.45,0.243,0.28,0.9,0.16,10.4,5
7.98,0.598,0.31,1.2,0.064,11.1,6
5.26,0.702,0.34,2.9,0.066,9.7,5
4.6,0.47,0.18,1.5,0.119,10.3,4
6.65,0.855,0.22,5.3,0.012,9.7,4
9.34,0.613,0.39,3.0,0.068,8.9,7
5.41,0.685,0.36,1.8,0.107,10.0,5
6.74,0.484,0.58,1.8,0.046,8.4,6
6.59,0.284,0.48,2.4,0.109,11.6,7
8.54,0.392,0.23,2.9,0.07,11.1,5
12.74,0.71,0.0,1.2,0.039,9.0,7
8.9,0.643,0.01,0.9,0.162,10.6,5
8.86,0.487,0.13,7.0,0.068,12.1,7
7.4,0.236,0.29,5.7,0.087,11.2,6
7.87,0.432,0.58,4.1,0.168,11.0,5
9.17,0.296,0.48,2.7,0.152,10.4,5
8.87,0.733,0.47,6.0,0.047,11.3,6
7.04,0.57,0.38,0.9,0.123,11.9,5
6.09,0.393,0.0,2.2,0.112,11.7,4
8.5,0.126,0.0,4.0,0.053,11.7,7
4.6,0.505,0.44,1.5,0.075,11.7,6
9.38,0.37,0.1,3.1,0.178,8.6,5
9.17,0.609,0.38,4.8,0.193,11.0,3
7.61,0.836,0.08,7.4,0.108,10.9,4
9.2,0.565,0.0,3.9,0.088,10.0,4
9.92,0.7,0.09,0.9,0.135,9.6,4
7.62,0.895,0.56,3.3,0.077,9.0,6
6.18,0.644,0.25,0.9,0.091,10.8,5
9.76,0.382,0.46,0.9,0.074,10.1,7
9.43,0.628,0.4,3.4,0.106,10.9,5
6.66,0.563,0.54,0.9,0.057,9.3,5
7.38,0.431,0.35,4.1,0.067,9.3,5
11.3,0.615,0.43,1.3,0.03,11.1,8
7.07,0.806,0.31,8.7,0.138,9.8,5
9.4,0.192,0.01,14.2,0.182,12.2,6
10.12,0.539,0.32,6.4,0.051,10.0,7
9.15,0.557,0.47,4.4,0.063,8.4,4
9.89,0.306,0.19,15.3,0.11,8.7,6
6.28,0.401,0.0,13.6,0.116,11.9,6
7.3,0.753,0.2,0.9,0.132,9.9,3
8.02,0.556,0.13,2.2,0.071,13.0,7
10.63,0.233,0.27,3.5,0.066,9.6,7
7.38,0.467,0.36,13.6,0.093,10.5,4
10.95,0.933,0.59,1.1,0.035,13.0,6
7.83,1.028,0.47,7.9,0.057,10.8,7
8.59,0.594,0.0,1.8,0.046,8.9,7
8.67,0.555,0.21,3.5,0.012,9.9,6
6.27,0.625,0.41,3.3,0.05,11.3,6
8.68,0.332,0.22,2.5,0.106,10.7,7
8.45,0.623,0.64,5.1,0.07,10.6,8
5.79,0.514,0.15,1.9,0.041,10.3,5
8.91,0.765,0.0,12.5,0.08,10.0,6
7.18,0.786,0.11,10.6,0.079,10.2,5
9.68,0.702,0.13,4.1,0.134,11.4,5
7.08,0.911,0.47,2.4,0.058,12.6,7
9.73,0.593,0.34,1.3,0.104,9.9,6
7.15,0.222,0.37,1.5,0.012,10.4,7
6.2,0.827,0.2,15.5,0.072,10.6,6
6.72,0.38,0.47,8.5,0.015,10.6,9
9.58,0.655,0.51,0.9,0.075,12.4,5
7.09,0.718,0.42,2.1,0.145,8.8,4
6.35,0.772,0.22,3.8,0.087,9.6,4
7.94,0.698,0.31,0.9,0.133,9.2,4
8.97,0.567,0.38,15.5,0.108,10.0,6
6.22,0.392,0.0,15.5,0.065,10.5,7
9.27,0.629,0.07,4.7,0.06,8.8,6
7.63,0.531,0.4,2.4,0.149,9.2,5
7.43,0.73,0.5,5.3,0.133,8.7,4
10.63,0.425,0.2,0.9,0.146,11.9,8
8.04,0.348,0.19,1.7,0.077,9.0,5
9.97,0.608,0.18,2.1,0.067,10.5,7
6.78,0.336,0.2,1.0,0.15,11.7,4
6.98,0.738,0.04,1.3,0.025,10.8,5
8.12,0.658,0.16,1.9,0.045,10.1,6
9.11,0.42,0.19,15.5,0.074,10.2,6
7.09,0.467,0.1,5.1,0.075,10.1,6
7.24,0.322,0.2,1.5,0.014,9.1,6
6.42,0.355,0.33,15.5,0.125,10.4,6
10.56,0.639,0.43,3.0,0.102,8.4,4
5.75,0.526,0.31,4.4,0.137,11.1,5
10.2,0.547,0.21,0.9,0.123,9.3,4
10.0,0.562,0.37,15.5,0.081,8.4,6
8.21,0.304,0.25,0.9,0.012,9.4,7
7.78,0.406,0.4,3.4,0.082,10.9,6
8.1,0.558,0.49,2.1,0.012,10.3,6
7.68,0.453,0.0,5.8,0.015,11.0,7
8.66,0.78,0.13,5.2,0.096,10.7,5
8.28,0.464,0.3,11.4,0.022,10.4,7
6.04,0.159,0.25,1.4,0.106,11.0,7
7.09,0.3,0.4,2.5,0.09,11.7,7
6.99,0.579,0.0,4.0,0.062,9.1,4
8.68,0.731,0.38,12.5,0.084,9.7,6
7.79,0.504,0.43,0.9,0.061,11.7,7
6.26,0.59,0.26,6.1,0.088,10.1,6
6.2,0.677,0.34,4.9,0.096,9.0,5
7.0,0.583,0.0,1.4,0.201,10.1,4
6.95,0.244,0.07,3.0,0.012,10.9,7
7.04,0.618,0.17,2.3,0.08,10.3,5
9.8,0.805,0.4,2.9,0.185,10.3,5
8.17,0.265,0.05,0.9,0.078,11.3,6
7.86,0.522,0.07,0.9,0.037,10.8,7
5.61,0.237,0.1,2.5,0.099,10.0,5
10.59,0.422,0.31,1.2,0.064,9.0,6
7.21,0.834,0.36,4.0,0.087,11.3,5
6.97,1.109,0.1,2.3,0.077,9.8,4
5.11,0.498,0.42,0.9,0.039,9.8,5
5.87,0.444,0.42,6.2,0.076,10.0,5
7.92,0.849,0.43,3.0,0.103,10.6,5
10.35,0.534,0.58,3.1,0.012,8.4,8
10.2,0.338,0.31,2.0,0.042,11.0,7
6.84,0.466,0.24,1.1,0.012,9.7,7
4.6,0.535,0.34,15.5,0.102,9.3,5
9.87,0.278,0.77,5.0,0.09,9.5,7
8.91,0.298,0.8,0.9,0.1,12.1,7
5.71,0.589,0.36,0.9,0.11,10.6,5
8.33,0.611,0.29,1.8,0.012,10.7,6
6.86,0.573,0.39,1.3,0.116,11.8,5
7.25,0.44,0.39,0.9,0.063,12.1,8
5.07,0.898,0.08,1.4,0.054,9.7,3
8.62,0.73,0.32,4.6,0.041,9.9,5
8.67,0.506,0.22,14.6,0.085,11.2,7
8.75,0.463,0.0,2.4,0.042,10.2,5
9.55,0.606,0.33,1.4,0.05,9.4,6
8.29,0.638,0.03,1.5,0.139,12.5,7
5.61,0.8,0.34,3.4,0.02,11.1,4
6.96,0.682,0.02,12.9,0.13,9.7,4
