income,credit_score,age,loan_amount,approved
20000,687,18,89274,0
77526,683,18,248743,0
24801,589,43,76806,0
61515,587,42,314296,0
20000,750,57,10000,0
20000,761,50,66910,0
34998,677,19,110936,1
20000,632,52,76136,0
33994,667,52,126935,0
33728,748,31,73049,0
180320,575,75,1000000,0
45377,511,48,120213,0
20000,732,37,100553,0
44858,691,48,83902,1
32850,680,59,136957,0
20000,762,42,86518,0
143578,784,43,631498,0
51018,575,27,312968,0
20000,698,42,74056,0
136223,779,51,441557,0
31423,829,42,61286,0
97970,627,34,370087,0
121433,766,38,642749,1
20000,733,40,53128,0
103988,518,47,546295,0
21909,768,32,76033,0
48473,571,53,189941,0
23166,738,36,74889,0
80803,765,28,369400,0
49749,533,18,132853,0
20000,727,19,69074,0
54487,794,47,147184,0
49459,715,32,117490,0
29908,664,34,163481,0
28256,585,42,91492,0
31647,680,18,65191,0
44295,765,21,66734,0
20000,683,44,86440,0
48676,539,46,103971,0
26670,705,41,154587,0
23542,575,47,102238,0
21202,739,50,85807,0
22460,677,58,116769,0
20000,714,44,86782,0
20000,759,28,12355,1
57628,628,35,277406,0
53675,619,30,196757,0
49603,737,46,224042,0
25019,820,24,136953,0
35884,532,19,40485,0
20000,631,55,118581,0
31183,718,24,60688,0
20000,722,21,114852,0
20895,703,50,106902,0
20000,707,28,43384,0
137366,521,42,573293,0
152322,691,33,495363,0
24073,736,39,42508,1
38429,664,43,144602,0
20000,553,25,91291,0
22434,655,46,60453,0
115796,540,58,226635,0
35193,743,33,129886,0
20000,494,43,99232,0
44178,655,27,132186,1
33298,753,42,39198,0
20000,720,40,111211,0
136833,629,40,460646,0
20000,741,41,59187,0
112926,716,34,387403,0
33058,715,49,184822,0
76745,518,36,236775,0
20752,703,48,100330,0
34635,670,38,183262,0
57988,706,36,303483,0
79455,711,45,447964,0
26995,632,30,145391,0
67886,769,42,207794,0
20000,468,24,68621,0
20000,674,42,64604,0
158849,666,28,736613,0
20936,645,56,87870,0
38093,567,63,222238,0
43742,673,40,155609,0
20000,669,37,24787,1
68036,635,42,391859,0
20000,610,42,38587,0
20000,726,24,90474,0
40834,678,21,139411,0
20000,730,23,90322,0
31554,679,21,118629,0
28732,625,24,131356,0
32527,669,32,157087,0
74331,640,43,406806,0
51118,577,45,178099,0
20000,718,42,39949,0
46718,687,18,254459,0
39573,774,45,193212,0
20000,654,28,87859,0
20231,597,46,110377,0
183739,633,33,504304,0
75368,760,48,296329,0
25568,558,47,152443,0
20000,579,32,80699,0
49962,850,41,187380,0
36339,594,29,171376,0
53747,741,37,263987,0
20000,695,51,78465,0
20000,622,37,61365,0
20000,683,29,41401,0
83539,588,18,425230,0
266570,663,30,1000000,0
43307,674,49,172146,0
20169,763,21,75279,0
26489,671,38,103966,0
131283,708,39,402870,0
61983,727,37,181133,0
26768,508,31,83118,0
152659,656,41,371245,0
20000,693,37,80389,0
65832,745,67,356812,0
20000,681,31,97981,0
52325,580,43,109975,0
29569,797,26,162035,0
20000,707,49,64485,0
20650,648,48,63402,0
71313,691,37,251071,0
20000,507,26,92915,0
46309,578,40,131831,0
31698,682,48,145652,0
32487,679,44,82706,0
43795,657,39,251127,0
28777,729,32,94785,0
59834,669,48,128551,0
20000,749,32,126978,0
20000,699,24,98871,0
38965,742,52,81884,0
20000,686,25,63749,0
40123,737,47,98314,0
63162,724,27,145001,0
23337,803,38,80361,0
80162,838,55,275449,0
20512,723,44,49959,0
38354,593,52,117652,0
20418,759,45,113740,0
93282,623,25,554256,0
58682,747,35,187193,0
20000,678,36,67862,0
72193,701,54,359334,0
20000,610,62,85856,0
53875,658,42,107588,0
26384,582,31,65089,0
25433,620,30,95000,0
24793,693,56,93750,0
26308,716,44,10000,1
96812,622,32,428409,0
20000,659,44,115312,0
22023,809,57,71925,0
91828,679,34,312987,0
74731,692,24,421896,0
66535,781,30,241527,0
154871,678,41,512488,0
53057,692,30,181083,1
40823,661,32,186419,0
20000,643,23,91398,0
43822,775,18,123365,0
144021,798,34,575468,0
45172,740,58,141588,0
49629,653,18,275111,0
30825,608,44,83178,0
20000,602,25,56508,1
24200,457,18,120933,0
57587,730,51,202229,0
119077,850,33,427687,0
144715,661,22,402660,0
42220,690,38,152728,0
110292,718,47,595278,0
37208,651,34,83101,0
52808,755,32,248322,0
60911,587,45,222802,0
45295,666,64,274268,0
78963,478,24,173044,0
76540,642,64,257879,0
52801,642,34,232139,0
20000,743,43,42813,0
39098,595,60,247285,1
20000,732,35,101889,0
33599,608,19,98795,0
20000,523,25,36778,1
44230,810,34,94468,0
50122,597,39,117963,0
24057,580,49,113809,0
123735,724,50,676075,0
92705,615,38,291784,0
72509,831,41,365099,0
25893,673,47,110531,0
81922,701,49,162446,0
76471,771,34,197077,1
20000,671,54,67710,0
26235,611,46,144082,1
97105,547,55,426476,0
86651,850,18,371207,0
51625,787,37,200979,0
20665,652,41,82441,1
74279,622,43,406941,0
76465,683,18,416723,0
110760,602,26,214513,0
20824,629,27,151020,1
147792,697,59,330189,0
71965,671,41,378148,0
65645,646,21,124724,0
27434,544,30,127928,0
53397,642,24,315178,0
20000,750,53,23780,1
57396,571,46,293814,0
55479,577,38,192212,0
20000,691,31,74645,0
26032,601,36,117978,0
39181,654,43,225024,0
110103,700,46,441294,0
41503,637,74,210867,0
39828,656,53,217701,0
28351,752,38,123260,0
42259,661,21,129590,0
21425,699,44,98429,0
30999,640,46,170201,0
83504,640,35,476178,0
90413,651,52,244584,0
25714,693,39,134551,0
20000,704,34,32349,0
197839,741,62,900589,0
20000,585,38,87813,0
77085,581,48,426295,0
65398,605,31,235316,0
24278,599,32,93958,0
22109,733,30,96027,0
20673,582,57,116906,0
162628,724,18,539016,0
61404,697,71,250308,0
22653,520,27,86528,0
38998,794,23,169950,0
20000,581,26,92911,0
40748,740,49,107610,0
42244,702,40,120455,0
20000,753,33,58959,0
20000,569,27,56936,0
80883,674,43,198444,0
31906,651,33,160669,0
71069,796,20,185770,1
85482,630,37,413585,0
20000,737,29,142292,0
36259,650,51,145936,0
95077,644,37,247872,1
100886,738,44,473130,0
38785,790,40,254898,0
20000,697,30,95012,0
179692,770,41,688589,0
46247,561,22,133084,0
42019,787,57,183238,1
62427,601,29,337348,0
60959,794,56,247977,0
38778,619,54,128574,0
20000,679,25,78546,0
38142,616,37,71882,0
20000,649,39,136228,0
32096,622,43,75576,0
27425,676,23,74661,0
20000,662,30,104855,0
88240,502,56,395714,0
109759,554,18,474441,0
23696,705,31,124994,0
43516,674,27,114201,0
30067,565,39,165144,0
20000,785,38,93750,0
25369,563,52,151083,0
20925,722,59,91020,0
26633,530,40,116310,0
41827,683,49,181124,0
37410,770,18,129175,0
20000,843,39,24788,1
38715,745,30,181471,0
20000,759,32,61915,0
53247,607,23,225029,0
55622,631,32,273616,0
20000,718,41,62740,0
48375,545,37,189373,0
124372,841,30,387521,0
24148,651,55,127862,1
38117,526,51,124766,0
30994,788,47,135242,0
93847,618,35,407185,0
31775,797,35,128822,0
37242,782,20,135971,0
20000,622,46,63989,0
24880,644,41,106223,0
40441,739,42,124744,0
20000,602,49,78258,0
107614,750,48,438537,0
20000,850,44,35777,0
47931,702,23,300586,0
20000,537,46,75285,0
20000,681,41,65447,0
40590,663,32,234850,0
46058,850,49,196824,0
82258,637,52,199128,0
61666,621,35,163535,0
57761,724,71,196628,0
33740,662,33,93494,0
20000,576,42,80058,0
55499,621,22,273802,0
32618,721,41,203336,0
20000,802,37,101201,0
30265,516,40,96994,0
24924,764,40,89557,0
20000,689,54,65330,0
52257,595,50,187294,1
70996,641,39,196013,0
20129,724,30,56315,0
85659,642,31,264038,0
77839,469,38,425744,0
36491,673,25,90624,0
94211,649,33,367256,0
83098,830,45,254090,0
49306,746,36,115808,0
20000,658,23,39220,0
102231,702,25,523630,0
60674,678,43,316998,0
97661,790,40,313278,0
81331,599,53,248515,0
59089,826,18,270411,0
65141,671,56,292794,0
20000,737,47,87367,0
145861,657,30,738396,0
27094,642,51,166127,0
20000,583,40,81615,0
24966,706,31,22682,1
26451,674,32,98135,0
112218,807,61,349561,0
34574,835,41,147786,0
41871,661,22,255295,0
20000,572,40,24905,0
20000,671,63,40483,0
80369,670,34,300861,0
20000,776,41,25323,0
53075,660,42,195151,0
27556,648,51,107370,0
20000,471,41,60780,1
171592,674,47,841203,0
23315,636,57,109901,0
76394,742,33,253358,0
23643,528,52,104095,0
20000,726,54,85379,0
52626,722,26,314911,0
25228,644,31,160229,0
93007,678,64,318349,0
26535,766,41,107802,0
30069,680,40,164697,0
33222,704,33,186040,0
34687,660,37,132939,0
20000,577,39,66282,0
20000,699,41,104878,0
20000,483,18,52034,0
20000,683,33,49059,0
154925,732,26,910626,0
108292,810,30,586285,0
38715,766,55,188760,0
22835,850,32,130060,0
82162,611,61,451577,0
20000,738,30,77660,0
21388,568,55,61682,0
42413,731,55,109648,0
24202,689,48,84690,0
34036,662,50,174200,0
42974,669,20,151510,0
54583,673,33,199177,0
45453,698,18,228603,0
20174,776,45,111424,0
20000,579,33,69140,0
69343,578,18,147557,0
34938,621,21,149608,0
78998,780,39,409350,0
39250,630,34,218161,0
20000,629,44,70887,0
32329,706,33,119225,0
21293,653,45,71276,0
48123,658,26,170899,0
28170,781,41,125907,0
24107,689,50,105389,0
154202,682,53,406413,0
25613,550,56,75596,0
49378,612,37,123170,0
102466,632,23,198201,0
29543,628,28,194777,0
30911,744,33,163233,0
20000,850,19,46102,0
115714,645,20,674530,0
69119,772,33,257901,0
151216,850,30,361185,0
41905,577,55,232937,0
62184,762,25,288189,0
54617,798,44,309375,0
45111,712,27,241464,0
56173,568,40,210649,0
29506,594,45,106423,0
20000,464,25,82829,0
24764,753,55,16504,1
20000,656,39,66986,0
20000,649,37,41188,0
60261,605,40,315136,1
20000,710,47,52997,0
31027,722,47,137732,0
39925,620,50,185651,0
88125,658,39,452436,0
27900,553,18,136971,0
97352,709,62,306376,0
61836,664,52,275161,0
44817,683,18,115342,0
42500,609,32,178279,0
20000,629,29,142261,0
107330,755,28,635678,0
123108,749,35,517437,0
112425,766,50,446195,0
44230,707,30,111978,0
41643,550,46,120157,1
25064,806,50,96703,0
49077,655,52,289041,0
20000,793,49,72163,1
79221,713,42,306122,0
20000,689,18,98776,0
56096,611,59,168471,0
173131,649,27,955458,0
84866,644,27,352675,0
80721,661,42,231442,0
54510,782,32,250663,0
59528,596,18,125277,0
20000,708,50,40467,0
41386,785,18,129609,0
54863,678,39,304246,0
20000,680,33,78980,0
40523,643,53,159667,0
36656,581,42,196158,0
96414,647,31,328090,0
24254,744,43,123552,0
20000,741,49,89854,0
28725,736,38,160270,0
51862,688,25,194943,0
78726,681,50,365705,0
31297,579,36,123253,0
20000,735,27,94568,0
63095,637,42,287685,0
20000,689,25,110411,0
20000,718,33,113593,0
27944,694,46,110387,0
73811,778,25,222340,0
40090,794,34,178548,0
52382,826,34,237105,0
33972,753,47,91876,0
66563,707,61,181335,0
126773,666,36,326919,0
20000,748,38,59298,0
48887,753,45,280716,0
27563,755,46,149412,0
20000,724,49,47809,1
20000,670,20,53401,0
31989,711,38,46492,1
51184,695,26,166649,0
99408,602,36,331446,0
88865,687,34,500913,0
39597,536,41,93306,0
20000,626,43,60880,0
74904,722,26,242573,0
27083,576,33,151342,0
45009,780,65,195221,0
23388,767,33,73701,0
22509,632,30,64483,0
121570,649,29,617410,0
87980,699,27,390118,0
20000,727,34,75705,0
64935,646,23,364016,0
22032,794,47,92279,0
78414,615,40,444444,0
20000,588,47,116100,0
26063,563,30,83425,0
34740,567,43,206605,0
21484,723,34,51460,0
98328,821,62,292056,0
20000,662,29,93833,0
107020,850,43,429400,0
81442,656,46,393988,0
20000,630,51,63310,0
36254,712,45,110678,0
84219,650,22,474073,0
36579,757,18,238869,0
66210,634,57,218603,0
27824,773,38,107248,0
43574,712,38,208212,0
39435,758,52,159568,0
20000,695,54,89962,0
33610,642,48,140824,0
40646,645,18,152813,0
73640,778,27,221650,0
28651,621,36,66762,0
20000,622,41,71569,0
66588,770,32,327354,0
41051,610,46,129013,0
23874,642,27,166472,0
126247,650,32,741885,0
39791,701,47,248205,0
26975,586,36,70288,0
22230,749,36,138460,0
31109,695,27,87159,0
20000,760,39,51233,1
38382,656,33,182119,0
20188,704,41,64363,0
31713,654,18,150975,0
42276,760,37,158833,1
110847,647,26,479850,0
120154,769,32,502617,0
20847,610,56,77264,0
52470,706,37,178278,0
56289,635,42,186502,0
43698,605,33,166734,0
42681,723,38,169675,0
191784,554,41,1000000,0
26081,677,31,154035,0
20000,672,41,114726,1
44139,613,41,214594,0
21477,681,55,135347,0
23915,491,30,141596,0
75175,622,56,269428,0
48960,746,37,209754,0
21736,767,46,114205,0
106933,526,37,250324,0
20000,664,39,65390,0
146950,770,63,457554,1
56013,578,61,230649,0
28330,821,61,67894,1
56159,662,55,211284,0
20000,683,46,92121,0
61409,784,37,167269,0
110266,629,58,539263,0
27306,679,67,53583,0
22693,707,18,31229,0
47519,703,44,110179,0
28631,658,25,44198,0
26093,622,34,100799,0
20000,633,53,18674,0
39490,666,58,164662,0
20000,593,20,65694,0
20000,624,24,105737,0
53580,715,36,251430,0
20000,556,42,100709,1
30215,643,29,186024,0
60759,635,56,318080,0
60897,669,34,311793,0
20000,625,45,72789,0
20000,665,43,103619,0
123255,612,25,654044,0
124168,650,41,689305,0
25156,621,44,113451,0
44904,715,37,227890,0
93774,775,37,257935,0
72613,804,18,415671,0
20000,554,50,100284,0
20000,725,37,53874,0
20000,672,35,72628,0
47499,689,18,146952,0
40705,790,37,108864,1
300000,615,33,1000000,0
80573,722,53,471396,0
132616,571,36,346392,0
105376,713,38,418816,0
74453,820,43,151805,0
23536,765,48,119553,0
96472,627,40,510623,0
80212,660,18,163150,0
20000,651,36,83669,0
20000,630,42,118861,0
45598,503,28,152420,0
32735,592,31,155778,0
139281,605,66,459188,0
20000,707,39,43307,0
21950,638,62,96549,0
20000,708,32,90185,1
20000,755,44,101211,0
45140,779,42,135254,0
20000,618,36,33625,0
20000,770,33,113440,0
68543,537,47,315438,0
102431,617,43,325073,0
20124,832,21,23063,1
20000,704,52,109806,0
43481,707,44,142687,0
82867,754,41,329087,0
41781,740,41,116959,0
20000,631,43,78557,0
20000,722,20,69873,0
20000,697,33,91603,0
27029,564,68,100419,0
20000,750,39,88417,0
47105,546,37,98532,0
55779,539,43,143339,0
24459,658,34,67693,0
20743,644,43,10000,1
54876,834,64,218615,0
28006,571,36,166580,0
20000,649,54,89998,0
48917,736,31,212949,0
20000,597,20,43147,0
35849,625,44,145786,0
22855,744,28,94017,0
50668,783,46,111199,0
32984,828,39,80884,0
43048,577,55,116342,0
20000,594,54,122235,0
70398,537,30,355507,0
27345,770,44,141381,0
40871,763,37,201765,1
71901,608,49,179656,0
27950,749,50,90969,0
46882,769,56,190031,0
51203,679,22,224955,0
64426,772,25,145793,0
96615,728,30,305936,0
25355,643,41,54902,0
21476,660,26,119511,0
44348,565,23,160853,0
85991,800,56,396252,0
40551,637,38,195983,0
20000,765,43,40103,1
20000,739,52,89584,0
20000,616,56,96555,0
66210,687,24,187149,0
20000,559,32,90890,0
93233,726,34,510950,0
20000,601,49,18588,0
69817,666,28,239188,0
20000,658,33,109021,0
27746,567,49,131659,0
155459,600,44,645428,0
20000,788,51,24244,0
20000,810,44,100610,0
67646,583,35,293243,0
28594,660,42,121104,0
62111,665,40,121025,0
92906,652,38,580544,0
41244,737,54,171275,0
40192,773,39,130434,0
20000,637,32,98049,0
35085,725,34,172918,0
31636,643,41,85108,0
34972,776,48,84347,0
22972,731,50,76460,0
61463,619,38,214193,0
48872,682,27,274927,0
97239,613,39,436482,0
74766,766,18,439270,0
20634,620,38,154312,0
20000,700,37,98389,0
56229,610,52,231486,0
55753,717,60,176135,0
97038,641,50,354443,0
23679,595,48,70967,0
20000,667,39,65519,0
20000,720,37,85847,0
24789,590,40,141519,0
101065,603,42,392702,0
23373,721,36,125826,0
216621,699,50,925217,1
20000,811,44,135581,0
119059,535,38,319172,0
69703,694,62,195635,0
83879,789,62,321838,0
53186,780,62,201573,0
61945,750,26,160382,0
20000,656,45,81511,0
37774,722,22,98913,0
20000,664,44,44936,0
35451,523,53,196357,0
59086,626,24,143111,1
27106,724,53,28089,0
40809,741,56,249687,0
37267,714,34,147734,0
34076,599,34,139083,0
59565,691,18,183589,0
51101,720,67,182736,0
40945,563,34,90159,0
60218,775,28,72062,1
91404,736,36,559842,0
84282,675,42,242646,0
227475,656,54,801290,0
51173,572,29,242465,0
20000,724,42,79881,0
31802,628,48,98671,0
62229,651,29,129641,0
26673,674,43,127502,0
43504,425,40,255458,0
35228,723,44,133186,0
76990,838,18,372780,1
71201,727,43,352956,0
36759,651,40,123739,0
74369,781,38,412889,0
32574,598,20,210047,0
20000,631,41,83932,0
78699,706,27,408270,0
38470,485,32,98486,1
74535,756,45,425289,0
42519,658,30,167740,0
38897,755,18,232433,0
54762,704,56,186155,0
20000,723,55,100988,0
23537,781,33,64516,0
20170,705,40,66672,0
20000,717,33,81240,0
43395,608,40,162169,1
27447,719,45,65919,0
35707,629,48,63476,0
96663,713,66,473120,0
63095,626,19,145366,1
42097,700,57,237746,0
22348,653,33,78890,0
38502,662,27,136211,0
91212,585,38,270876,0
22475,712,46,79288,0
74871,729,19,242388,0
20000,711,41,98805,1
20000,753,35,94125,0
146525,556,28,780464,0
20413,584,32,73620,0
28950,664,34,133794,0
27523,589,74,97295,0
35094,697,20,58032,0
20000,705,31,77972,0
24977,589,24,142470,0
146602,733,31,846789,1
51702,739,47,239202,0
129422,667,20,429270,0
52845,668,30,302650,0
20000,701,35,100256,0
26891,814,44,58494,0
49234,735,37,271335,0
162236,673,48,373918,0
62496,675,50,251478,0
43026,701,37,257327,0
70233,671,34,244614,0
38805,708,50,108018,0
23354,745,42,93312,0
31651,850,40,131709,0
20000,634,18,77660,0
166464,680,27,925961,0
68968,817,45,192363,0
40509,516,66,160909,0
46365,703,32,147558,1
132876,618,37,544294,0
112334,773,36,636820,0
63292,705,42,285414,0
48485,716,30,124455,0
31647,850,36,168037,0
27836,627,53,150473,0
20000,679,47,51488,0
20000,735,41,37479,0
69132,628,41,204118,0
20053,724,46,48446,1
116248,622,47,650973,0
61633,648,68,211874,0
20000,732,27,92853,0
42033,666,33,245330,1
51960,686,45,245318,0
158765,776,39,684041,0
58301,715,18,326037,0
23732,698,37,63592,0
45701,735,52,237246,0
20000,697,60,123425,0
67740,448,67,392853,0
36914,565,29,214396,0
24266,706,53,82901,0
79197,709,48,354234,0
20000,812,33,121308,0
45821,654,37,134238,0
52715,513,38,188377,0
20000,688,43,91066,0
20000,820,66,68401,0
104611,625,55,281288,0
20000,622,43,41199,0
64973,639,34,292759,0
44365,715,46,92702,0
20000,656,31,33996,0
77748,554,33,244732,0
31919,756,28,181774,0
34566,766,49,150815,0
23714,707,35,62979,0
53586,581,45,209795,0
75283,649,27,457864,0
20000,747,21,105700,0
64983,610,33,309353,0
43039,618,25,200513,0
20841,597,37,25891,0
36218,695,41,225498,0
124195,739,31,409326,0
29781,695,51,84295,0
71109,659,18,183864,0
93742,670,46,517355,0
63145,556,50,267754,0
41331,781,34,108668,0
145749,732,45,785948,0
84781,654,50,237446,0
35716,611,41,156468,0
45983,620,39,281702,0
76051,655,38,406142,0
47423,778,42,241289,0
56801,572,36,275624,0
20000,629,41,51665,0
93387,609,38,330883,0
39102,712,48,75615,0
52553,667,49,90257,0
46968,645,59,285557,0
21014,706,48,68988,0
38605,559,26,227226,0
20000,639,44,62855,1
54228,670,26,258273,0
59652,514,25,281220,1
88619,742,62,508792,0
27943,708,22,97811,0
20000,663,40,43236,0
20000,624,29,51291,0
35730,823,64,83640,1
135650,758,48,660039,0
20000,565,64,60748,0
40701,596,29,108594,0
20000,509,21,65520,0
24145,640,42,137993,0
20000,602,39,46914,0
24253,710,37,84597,0
58670,745,54,192716,0
29900,600,37,147020,0
20000,688,23,82605,0
23815,631,36,104626,0
35470,787,46,121898,0
42798,648,50,172765,0
41229,733,24,154532,0
20000,672,25,101049,0
50906,742,28,142708,0
20000,638,38,40710,0
77910,663,42,268049,0
20000,642,64,79646,1
105400,689,34,466767,0
104311,743,49,333006,0
20000,696,22,54475,0
40115,679,30,148880,0
32562,588,41,143265,0
84616,623,20,468156,0
32224,631,56,93404,0
120216,746,23,308559,0
72840,685,37,397794,0
20414,644,53,113998,0
58157,661,37,185225,0
45311,667,18,120837,0
55467,609,50,258569,0
39562,662,55,204826,0
72971,672,37,407008,0
44586,606,36,226522,0
50014,687,52,171545,0
34636,594,19,90683,0
24045,598,52,50628,0
20000,743,51,76450,0
57164,616,23,306055,1
36745,736,30,194493,0
21133,651,18,92240,0
39992,731,21,71110,0
53947,577,60,138889,1
40248,734,42,214134,0
20000,608,42,28036,0
22524,555,47,122534,0
135398,615,39,721401,0
73740,670,22,426268,0
20232,588,40,35669,0
31770,691,54,70796,0
30018,637,20,119084,0
20000,660,18,47610,0
165557,652,41,595831,1
42035,590,34,186616,0
61151,833,36,356108,0
242806,748,41,957243,0
144215,590,36,538547,0
52839,710,52,262839,0
50326,791,29,94717,0
121295,575,32,459255,0
20000,847,49,121992,0
26783,615,43,79453,0
20000,588,48,99809,0
65892,773,28,382438,0
37279,656,32,130540,0
110186,544,49,534099,0
58460,748,43,229816,0
24417,671,39,122282,0
93100,664,50,335856,0
41682,706,42,185958,0
43893,693,23,105117,0
83892,646,33,309343,1
